cell_ID	tissue	background	total_counts	mitochondrial_fraction	cell_type	cluster	tsne_x	tsne_y
122514704288669	spleen	human	10062	0.0259391771019678	CCR7+ cDC2	8	-12.6651952874157	8.174850891170761
122514705108254	spleen	human	8256	0.02931201550387597	CLEC10A+ cDC2	1	-7.462661337010325	-1.0656368325301653
125042399755180	spleen	human	10218	0.02006263456645136	cDC1	2	-3.329575533240096	-25.091996335018173
125042400288045	spleen	human	6007	0.034959214250041615	CLEC10A+ cDC2	0	0.5890506433123268	16.577447152682407
125042400381789	spleen	human	11522	0.02768616559625065	CLEC10A- cDC2	3	17.40366816966179	2.801369024118749
125042414278451	spleen	human	8612	0.03425452856479331	CLEC10A- cDC2	3	14.06400698702407	4.951077131823467
125042414442332	spleen	human	9516	0.024485077763766287	cDC1	5	-1.5009974166643874	-19.251688844466454
125042414803174	spleen	human	6201	0.03918722786647315	CLEC10A+ cDC2	0	4.3306977461898875	13.830395659669135
125042414958443	spleen	human	12158	0.021385096232933047	cDC1	2	0.36676930553351256	-25.776753338954464
125042414962547	spleen	human	11274	0.020933120454142275	CLEC10A- cDC2	4	4.376999117517846	4.801881532819618
125042415029028	spleen	human	11476	0.02910421749738585	Mitotic cDC2	10	-2.071344552975881	-5.674318670470917
125042445733219	spleen	human	12452	0.016061676839061997	cDC1	5	-1.6735183718957505	-20.582513119872946
125042446191526	spleen	human	10098	0.020202020202020204	CCR7+ cDC2	8	-4.038124254788024	2.059409999119374
125197018413420	spleen	human	6884	0.02600232423009878	CLEC10A+ cDC2	0	-1.8848072874319866	13.029582974161977
125197019147061	spleen	human	8661	0.027248585613670478	CLEC10A+ cDC2	0	2.6238001723297284	9.592326892829137
125197019147173	spleen	human	11608	0.022312198483804273	cDC1	5	0.811348025101718	-16.922407542180675
125197019204829	spleen	human	6317	0.03751780908659174	AS DC	6	14.455086535609817	-0.6433239068261329
125197033073947	spleen	human	7657	0.03042967219537678	cDC1	2	-0.9432796194809875	-28.68917328497781
